TipoTumor,Farmaco,Resultados
Gastric Adenocarcinoma,PEMBROlizumab,129
Gastric Adenocarcinoma,OSIMERTINIB,4
Gastric Adenocarcinoma,NIVOlumab,133
Gastric Adenocarcinoma,ABEMACICLIB,0
Gastric Adenocarcinoma,EMTANSINA TRASTUZUMAB,0
Gastric Adenocarcinoma,PERTuzumab,18
Gastric Adenocarcinoma,PANItumumab,15
Gastric Adenocarcinoma,ALECTINIB,5
Gastric Adenocarcinoma,DABRAFENIB,1
Gastric Adenocarcinoma,NIRAPARIB,0
Gastric Adenocarcinoma,TRASTuzumab,463
Gastric Adenocarcinoma,CABOZANTINIB,7
Gastric Adenocarcinoma,DERUXTECAN TRASTUZUMAB,27
Gastric Adenocarcinoma,RAMUCIRUMAB,210
Gastric Adenocarcinoma,ATEZOlizumab,25
Gastric Adenocarcinoma,BEVACIZUMAB,86
Gastric Adenocarcinoma,OLAPARIB,9
Gastric Adenocarcinoma,TRAMETINIB,5
Gastric Adenocarcinoma,RIBOCICLIB,1
Gastric Adenocarcinoma,DURVALUMAB,15
Gastric Adenocarcinoma,LENVATINIB,7
Gastric Adenocarcinoma,PALBOCICLIB,3
Gastric Adenocarcinoma,TRIFLURIDINA TIPIRACILO,16
Gastric Adenocarcinoma,IPILIMUMAB,17
Gastric Adenocarcinoma,PAZOPANIB,11
Gastric Adenocarcinoma,CRIZOTINIB,21
Gastric Adenocarcinoma,TRABECTEDINA,0
Gastric Adenocarcinoma,AVELumab,11
Gastric Adenocarcinoma,LORLATINIB,0
Gastric Adenocarcinoma,ENZALUTAMIDA,0
Gastric Adenocarcinoma,AFATINIB,6
Gastric Adenocarcinoma,CAPECITABINA,435
Gastric Adenocarcinoma,CETUXIMAB,43
Gastric Adenocarcinoma,PACLitaxel ALBUMINA,0
Gastric Adenocarcinoma,AFLIBERCEPT,1
Gastric Adenocarcinoma,SACITUZUMAB GOVITECAN,1
Gastric Adenocarcinoma,eriBULina,0
Gastric Adenocarcinoma,PACLITAXEL,591
Gastric Adenocarcinoma,CLORURO DE SODIO,0
Gastric Adenocarcinoma,ENCORAFENIB,0
Gastric Adenocarcinoma,EVEROLIMUS,22
Gastric Adenocarcinoma,VINORELBINA,12
Gastric Adenocarcinoma,PEMETREXED,16
Gastric Adenocarcinoma,BINIMETINIB,0
Gastric Adenocarcinoma,CARBOPLATINO,118
Gastric Adenocarcinoma,ABIRATERONA,0
Gastric Adenocarcinoma,DENOSUMAB,4
Gastric Adenocarcinoma,EVEROLIMUS,22
Gastric Adenocarcinoma,FILGRASTIM,5
Gastric Adenocarcinoma,FLUOROURACILO,2562
Gastric Adenocarcinoma,DOXORUBICINA,568
Gastric Adenocarcinoma,GEMCITABINA,128
Gastric Adenocarcinoma,REGORAFENIB,8
Gastric Adenocarcinoma,SELPERCATINIB,0
Gastric Adenocarcinoma,REMDESIVIR,0
Gastric Adenocarcinoma,ENOXAPARINA,0
Gastric Adenocarcinoma,IRINOTECAN,362
Gastric Adenocarcinoma,NINTEDANIB,6
Gastric Adenocarcinoma,PLERIXAFOR,1
Gastric Adenocarcinoma,ALPELISIB,0
Gastric Adenocarcinoma,RUCAPARIB,1
Gastric Adenocarcinoma,ALBÚMINA,0
Gastric Adenocarcinoma,TEMOZOLOMIDA,9
Gastric Adenocarcinoma,OXALIPLATINO,671
Gastric Adenocarcinoma,SOTORASIB,0
Gastrointestinal Stromal Tumor (GIST),PEMBROlizumab,3
Gastrointestinal Stromal Tumor (GIST),OSIMERTINIB,2
Gastrointestinal Stromal Tumor (GIST),NIVOlumab,7
Gastrointestinal Stromal Tumor (GIST),ABEMACICLIB,0
Gastrointestinal Stromal Tumor (GIST),EMTANSINA TRASTUZUMAB,0
Gastrointestinal Stromal Tumor (GIST),PERTuzumab,2
Gastrointestinal Stromal Tumor (GIST),PANItumumab,1
Gastrointestinal Stromal Tumor (GIST),ALECTINIB,0
Gastrointestinal Stromal Tumor (GIST),DABRAFENIB,4
Gastrointestinal Stromal Tumor (GIST),NIRAPARIB,0
Gastrointestinal Stromal Tumor (GIST),TRASTuzumab,24
Gastrointestinal Stromal Tumor (GIST),CABOZANTINIB,15
Gastrointestinal Stromal Tumor (GIST),DERUXTECAN TRASTUZUMAB,0
Gastrointestinal Stromal Tumor (GIST),RAMUCIRUMAB,0
Gastrointestinal Stromal Tumor (GIST),ATEZOlizumab,0
Gastrointestinal Stromal Tumor (GIST),BEVACIZUMAB,29
Gastrointestinal Stromal Tumor (GIST),OLAPARIB,0
Gastrointestinal Stromal Tumor (GIST),TRAMETINIB,4
Gastrointestinal Stromal Tumor (GIST),RIBOCICLIB,0
Gastrointestinal Stromal Tumor (GIST),DURVALUMAB,0
Gastrointestinal Stromal Tumor (GIST),LENVATINIB,4
Gastrointestinal Stromal Tumor (GIST),PALBOCICLIB,4
Gastrointestinal Stromal Tumor (GIST),TRIFLURIDINA TIPIRACILO,0
