farmaco,term,count
pembrolizumab,MALIGNANT NEOPLASM PROGRESSION,7917
pembrolizumab,DEATH,4111
pembrolizumab,DIARRHOEA,3462
pembrolizumab,FATIGUE,3389
pembrolizumab,OFF LABEL USE,3002
pembrolizumab,PRODUCT USE IN UNAPPROVED INDICATION,2744
pembrolizumab,PYREXIA,2463
pembrolizumab,NAUSEA,2252
pembrolizumab,RASH,2145
pembrolizumab,DECREASED APPETITE,2014
pembrolizumab,HYPERTENSION,1881
pembrolizumab,ASTHENIA,1670
pembrolizumab,HYPOTHYROIDISM,1638
pembrolizumab,DYSPNOEA,1629
pembrolizumab,DRUG INEFFECTIVE,1590
pembrolizumab,PRODUCT USE ISSUE,1590
pembrolizumab,INTERSTITIAL LUNG DISEASE,1514
pembrolizumab,PNEUMONIA,1474
pembrolizumab,PNEUMONITIS,1439
pembrolizumab,VOMITING,1435
pembrolizumab,MALAISE,1429
pembrolizumab,ANAEMIA,1418
pembrolizumab,ACUTE KIDNEY INJURY,1349
pembrolizumab,NEUTROPENIA,1233
pembrolizumab,ADVERSE EVENT,1213
pembrolizumab,ARTHRALGIA,1207
pembrolizumab,COLITIS,1201
pembrolizumab,WEIGHT DECREASED,1146
pembrolizumab,THROMBOCYTOPENIA,1086
pembrolizumab,RENAL IMPAIRMENT,1018
pembrolizumab,PLATELET COUNT DECREASED,1007
pembrolizumab,PRURITUS,997
pembrolizumab,PAIN,902
pembrolizumab,CONSTIPATION,884
pembrolizumab,HEADACHE,870
pembrolizumab,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,866
pembrolizumab,GENERAL PHYSICAL HEALTH DETERIORATION,826
pembrolizumab,ADRENAL INSUFFICIENCY,820
pembrolizumab,ABDOMINAL PAIN,812
pembrolizumab,HEPATIC FUNCTION ABNORMAL,808
pembrolizumab,NEUROPATHY PERIPHERAL,790
pembrolizumab,BLOOD PRESSURE INCREASED,784
pembrolizumab,DEHYDRATION,759
pembrolizumab,COUGH,751
pembrolizumab,FEBRILE NEUTROPENIA,738
pembrolizumab,DISEASE PROGRESSION,729
pembrolizumab,HEPATITIS,705
pembrolizumab,STOMATITIS,705
pembrolizumab,PLEURAL EFFUSION,703
pembrolizumab,SEPSIS,689
pembrolizumab,PANCYTOPENIA,644
pembrolizumab,MYALGIA,633
pembrolizumab,PULMONARY EMBOLISM,632
pembrolizumab,MYOCARDITIS,625
pembrolizumab,DYSPHONIA,611
pembrolizumab,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,605
pembrolizumab,RENAL FAILURE,598
pembrolizumab,THERAPY PARTIAL RESPONDER,577
pembrolizumab,HYPOTENSION,559
pembrolizumab,TUBULOINTERSTITIAL NEPHRITIS,557
pembrolizumab,RESPIRATORY FAILURE,552
pembrolizumab,NEOPLASM PROGRESSION,547
pembrolizumab,ALANINE AMINOTRANSFERASE INCREASED,543
pembrolizumab,BACK PAIN,542
pembrolizumab,HYPERTHYROIDISM,541
pembrolizumab,PAIN IN EXTREMITY,540
pembrolizumab,HYPONATRAEMIA,520
pembrolizumab,DIZZINESS,519
pembrolizumab,ASPARTATE AMINOTRANSFERASE INCREASED,512
pembrolizumab,IMMUNE-MEDIATED HEPATIC DISORDER,511
pembrolizumab,IMMUNE-MEDIATED ENTEROCOLITIS,499
